frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.ttl,_ws.col.protocol,tcp.srcport,tcp.dstport,tcp.flags.str,udp.srcport,udp.dstport,icmp.type,icmp.code,frame.len
"3861","1759281150.643441374","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","4003","64891","·······A·R··",,,,,"54"
"3862","1759281150.643488916","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2920","64890","·······A·R··",,,,,"54"
"3863","1759281150.643494540","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5560","64889","·······A·R··",,,,,"54"
"3864","1759281150.643500790","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2968","64888","·······A·R··",,,,,"54"
"3865","1759281150.643505124","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5999","64887","·······A·R··",,,,,"54"
"3866","1759281150.643509540","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","34572","64886","·······A·R··",,,,,"54"
"3867","1759281150.643513457","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","62078","64885","·······A·R··",,,,,"54"
"3868","1759281150.643517790","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","5961","64884","·······A·R··",,,,,"54"
"3869","1759281150.643545749","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64883","2099","··········S·",,,,,"78"
"3870","1759281150.643552374","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2099","64883","·······A·R··",,,,,"54"
"3871","1759281150.645275993","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64892","1700","····CE····S·",,,,,"78"
"3872","1759281150.645276160","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64893","12174","····CE····S·",,,,,"78"
"3873","1759281150.645276285","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64894","7106","····CE····S·",,,,,"78"
"3874","1759281150.645276368","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64895","2910","····CE····S·",,,,,"78"
"3875","1759281150.645276452","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64896","1121","····CE····S·",,,,,"78"
"3876","1759281150.645434201","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1700","64892","·······A·R··",,,,,"54"
"3877","1759281150.645465493","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","12174","64893","·······A·R··",,,,,"54"
"3878","1759281150.645471409","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","7106","64894","·······A·R··",,,,,"54"
"3879","1759281150.645475784","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","2910","64895","·······A·R··",,,,,"54"
"3880","1759281150.645482451","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","1121","64896","·······A·R··",,,,,"54"
"3881","1759281150.645489534","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64897","9091","····CE····S·",,,,,"78"
"3882","1759281150.645489701","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64898","8031","····CE····S·",,,,,"78"
"3883","1759281150.645498326","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","9091","64897","·······A·R··",,,,,"54"
"3884","1759281150.645504076","8a:c9:4a:eb:f3:a4","16:7f:ce:eb:fe:64","192.168.64.3","192.168.64.1","64","TCP","8031","64898","·······A·R··",,,,,"54"
"3885","1759281151.645791766","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64898","8031","··········S·",,,,,"78"
"3886","1759281151.645792808","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64897","9091","··········S·",,,,,"78"
"3887","1759281151.645792891","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64896","1121","··········S·",,,,,"78"
"3888","1759281151.645792975","16:7f:ce:eb:fe:64","8a:c9:4a:eb:f3:a4","192.168.64.1","192.168.64.3","64","TCP","64895","2910","··········S·",,,,,"78"
